Part,FFTE Feed solids SP,TFE Motor speed,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Out flow PV,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,batch
1,50.0,3,0.0,0.08333333333333334,0.5375748062395762,0.5714285714285714,0.9242592592592592,0.8872180451127819,0.11217564870259482,1.0,0.745165211625594,0.48582881851118315,0.4626776065639384,0.5127715795654726,0.5998516137010016,0.8684575389948007,0.7430777716492002,0.3481836591312973,0.1259852326522738,0.5226788137235898,0.5405858820492967,0.1405825381724751,0.7373043854765882,0.6941176470588235,0.7097786196282704,0.9053087349397589,0.3800354400472534,0.6666666666666666,0.5056428646767219,1
1,50.0,3,0.0,0.08333333333333334,0.5375748062395762,0.5714285714285714,0.9711111111111111,0.8872180451127819,0.06826347305389222,1.0,0.745165211625594,0.4836581143347483,0.5825495297178307,0.5127715795654726,0.5998516137010016,0.8684575389948007,0.7430777716492002,0.3481836591312973,0.1275292471387806,0.5304322543128512,0.5163246870563944,0.14522514783252602,0.7373043854765882,0.6941176470588235,0.7097786196282704,0.9053087349397589,0.38464264619019495,0.6851851851851852,0.5165066976057379,1
1,25.0,3,0.0,0.08333333333333334,0.5375748062395762,0.5714285714285714,0.9711111111111111,0.8872180451127819,0.01264138389886893,1.0,0.745165211625594,0.4842872547407452,0.02951771062637583,0.5127715795654726,0.5998516137010016,0.8684575389948007,0.7365692222835081,0.34743976526015624,0.1318450393116223,0.5211281256057375,0.521486643437863,0.17318930672935115,0.726541720789262,0.6941176470588235,0.7097786196282704,0.9053087349397589,0.4153573538098051,0.7037037037037036,0.5315894947790318,1
2,50.0,3,1.0,0.05238095238095239,0.6716864514863143,0.7448979591836734,0.604074074074074,0.8872180451127819,0.5350632069194943,0.766990291262136,0.7557741186871476,0.4939130544451414,0.5742445467280369,0.44583088667058135,0.4980833436379375,0.7538994800693241,0.7519029233314948,0.2949745836260694,0.09664651531376645,0.4403954254700523,0.36778939217963613,0.3100721866797763,0.8235912661594607,0.8588235294117645,0.7097786196282704,0.8763177710843372,0.8322504430005907,0.611111111111111,0.36789368210104423,1
2,50.0,3,1.0,0.05238095238095239,0.6716864514863143,0.7448979591836734,0.6135185185185186,0.8872180451127819,0.5438456420492348,0.766990291262136,0.7471543816996353,0.4942278671849193,0.5732439463678207,0.44583088667058135,0.4980833436379375,0.7538994800693241,0.7441809156094871,0.2949745836260694,0.09858675969420087,0.4416553595658073,0.36817653890824625,0.33731095529481775,0.8235912661594607,0.8588235294117645,0.7097786196282704,0.8763177710843372,0.8346131128174838,0.611111111111111,0.37169074992089446,1
2,50.0,3,1.0,0.05238095238095239,0.6716864514863143,0.7448979591836734,0.5277777777777779,0.8872180451127819,0.566333998669328,0.766990291262136,0.7446126643828046,0.4960837586215762,0.5204122473484091,0.4374633000587199,0.4980833436379375,0.7538994800693241,0.7322669608383895,0.3007810885646981,0.10171447270897921,0.4416553595658073,0.3639179248935347,0.0900585737272253,0.8222304694748562,0.8588235294117645,0.7116727832366521,0.8763177710843372,0.8373301831069108,0.5925925925925924,0.34574411981858455,1
2,50.0,3,1.0,0.05595238095238096,0.6716864514863143,0.7448979591836734,0.5277777777777779,0.8872180451127819,0.5781769793745841,0.766990291262136,0.7446126643828046,0.49548614799691304,0.571642985791475,0.4374633000587199,0.4980833436379375,0.7538994800693241,0.7237727523441809,0.30299210645947844,0.10096230748660816,0.4416553595658073,0.36817653890824625,0.3158026021209137,0.8222304694748562,0.8588235294117645,0.7097786196282704,0.8492093373493975,0.8394565859421146,0.5740740740740741,0.31188693175825344,1
2,50.0,3,1.0,0.06190476190476191,0.6716864514863143,0.7448979591836734,0.5277777777777779,0.8872180451127819,0.5898868928809048,0.766990291262136,0.7240579069510442,0.4945421948511382,0.5082049229537723,0.4374633000587199,0.4980833436379375,0.7538994800693241,0.7255377826806398,0.30735215109311076,0.10290255186704259,0.4416553595658073,0.3699832236417603,0.28464661412760495,0.820807818395497,0.8588235294117645,0.7097786196282704,0.8492093373493975,0.8405197873597166,0.5740740740740741,0.27845164012235,1
2,50.0,3,1.0,0.06190476190476191,0.6716864514863143,0.7448979591836734,0.40870370370370357,0.8872180451127819,0.5892215568862275,0.766990291262136,0.7240579069510442,0.4948570075909161,0.5024014408645188,0.4374633000587199,0.4980833436379375,0.7538994800693241,0.72719249862107,0.3168574616688019,0.1044465663535494,0.4416553595658073,0.36611175635565885,0.29574558879375484,0.820807818395497,0.8588235294117645,0.7097786196282704,0.8492093373493975,0.8404016538688719,0.5555555555555555,0.27845164012235,1
2,50.0,3,1.0,0.06190476190476191,0.6716864514863143,0.7448979591836734,0.375925925925926,0.8872180451127819,0.5949434464404524,0.766990291262136,0.7240579069510442,0.4948570075909161,0.5700420252151291,0.4374633000587199,0.4980833436379375,0.7538994800693241,0.7322669608383895,0.30881927511675,0.10369440113117835,0.4422368676100019,0.3695960769131501,0.2925174062907054,0.820807818395497,0.8588235294117645,0.7097786196282704,0.8492093373493975,0.8385115180153574,0.5185185185185185,0.24870794220018988,1
2,50.0,3,1.0,0.06190476190476191,0.6716864514863143,0.7448979591836734,0.4085185185185187,0.8872180451127819,0.6131736526946107,0.766990291262136,0.7317935683500938,0.4932839140391445,0.5713428056834101,0.45199647680563715,0.4980833436379375,0.7538994800693241,0.7186982901268616,0.31317931975038227,0.10329817123725074,0.4422368676100019,0.37166085946573757,0.0896955989447445,0.820807818395497,0.8588235294117645,0.7116727832366521,0.790097891566265,0.8417011222681631,0.4999999999999999,0.24533277080476745,1
2,50.0,3,1.0,0.06190476190476191,0.6716864514863143,0.7448979591836734,0.3900000000000001,0.8872180451127819,0.6202262142381901,0.766990291262136,0.7317935683500938,0.4960837586215762,0.5713428056834101,0.45199647680563715,0.4980833436379375,0.7538994800693241,0.7109762824048539,0.3116915320081002,0.10409002050138651,0.4422368676100019,0.3690798812750033,0.29824838101502066,0.8245190820807817,0.8588235294117645,0.7097786196282704,0.790097891566265,0.8437093916125222,0.4999999999999999,0.24533277080476745,1
2,50.0,3,1.0,0.06785714285714287,0.6716864514863143,0.7448979591836734,0.3900000000000001,0.8872180451127819,0.6259481037924151,0.766990291262136,0.7317935683500938,0.4945421948511382,0.49059435661396844,0.45199647680563715,0.4980833436379375,0.7538994800693241,0.7049089906232764,0.3116915320081002,0.10523841561768515,0.4422368676100019,0.37166085946573757,0.2964709790755385,0.8245190820807817,0.8588235294117645,0.7097786196282704,0.790097891566265,0.8444181925575901,0.4999999999999999,0.24153570298491733,1
2,50.0,3,1.0,0.06904761904761905,0.6716864514863143,0.7448979591836734,0.3900000000000001,0.8872180451127819,0.6278110445775116,0.766990291262136,0.7317935683500938,0.4942278671849193,0.49059435661396844,0.45199647680563715,0.4980833436379375,0.7538994800693241,0.7049089906232764,0.3168574616688019,0.10603026488182092,0.4422368676100019,0.3686927345463931,0.09038463581996227,0.8245190820807817,0.8588235294117645,0.7097786196282704,0.790097891566265,0.8446544595392794,0.4999999999999999,0.2377386351650671,1
2,50.0,3,1.0,0.06904761904761905,0.6716864514863143,0.7448979591836734,0.28907407407407404,0.8872180451127819,0.631403858948769,0.766990291262136,0.7001878660625482,0.49576943095535725,0.5720432259355615,0.4445096887844979,0.4980833436379375,0.7538994800693241,0.6989520132377275,0.3233458693226433,0.11109822227703368,0.4475673580151192,0.37166085946573757,0.09433820860479541,0.8245190820807817,0.8588235294117645,0.7097786196282704,0.7731551204819277,0.847489663319551,0.4814814814814815,0.20810041134901391,1
2,50.0,3,1.0,0.07738095238095238,0.6716864514863143,0.7448979591836734,0.28907407407407404,0.8872180451127819,0.6328675981370592,0.766990291262136,0.7001878660625482,0.4945421948511382,0.4690814488693217,0.4445096887844979,0.4980833436379375,0.7538994800693241,0.6981798124655267,0.32555688721742365,0.11109822227703368,0.4475673580151192,0.3703703703703704,0.09361281832301177,0.8245190820807817,0.8588235294117645,0.7097786196282704,0.7731551204819277,0.8476077968103958,0.4814814814814815,0.20050627570931345,1
2,50.0,3,1.0,0.07738095238095238,0.6716864514863143,0.7448979591836734,0.18222222222222229,0.8872180451127819,0.6364604125083165,0.766990291262136,0.7001878660625482,0.4963985713613541,0.5694416649989994,0.4445096887844979,0.4980833436379375,0.7538994800693241,0.7014892443463873,0.3386783485556061,0.11268192080530522,0.4475673580151192,0.3747580332946187,0.2506254184137275,0.8166635739469289,0.8588235294117645,0.7078252634071268,0.7731551204819277,0.8480803307737744,0.44444444444444453,0.15947684843370957,1
2,50.0,3,1.0,0.07738095238095238,0.6716864514863143,0.7448979591836734,0.1677777777777778,0.8872180451127819,0.6399201596806386,0.766990291262136,0.7001878660625482,0.4935987267789224,0.5700420252151291,0.4445096887844979,0.4980833436379375,0.7538994800693241,0.7041367898510755,0.3386783485556061,0.11660148308421932,0.4463074239193642,0.37385469092786167,0.25454263779199476,0.8166635739469289,0.8588235294117645,0.7097786196282704,0.7731551204819277,0.8473715298287064,0.42592592592592593,0.1448159476848434,1
2,50.0,3,1.0,0.07738095238095238,0.6716864514863143,0.7448979591836734,0.18222222222222229,0.8872180451127819,0.6491017964071856,0.766990291262136,0.7069289424245773,0.4942278671849193,0.5700420252151291,0.45199647680563715,0.4912823049338444,0.7538994800693241,0.7041367898510755,0.3386783485556061,0.11501778455594779,0.4468889319635588,0.37824235385210997,0.09506359888657906,0.8264365683181789,0.8588235294117645,0.7097786196282704,0.6978539156626505,0.8457176609568813,0.38888888888888895,0.13353021833139977,1
2,50.0,3,1.0,0.07738095238095238,0.6716864514863143,0.7448979591836734,0.21092592592592596,0.8872180451127819,0.6536260811709913,0.766990291262136,0.7069289424245773,0.4926863034144813,0.5672403442065239,0.45199647680563715,0.4912823049338444,0.7538994800693241,0.6929950358521787,0.33793445468446504,0.11541340392615594,0.4468889319635588,0.3821138211382114,0.09542657366905985,0.8264365683181789,0.8588235294117645,0.7097786196282704,0.6978539156626505,0.8476077968103958,0.38888888888888895,0.13732728615125,1
2,50.0,3,1.0,0.07738095238095238,0.6716864514863143,0.7448979591836734,0.19203703703703723,0.8872180451127819,0.6574850299401197,0.766990291262136,0.7069289424245773,0.49548614799691304,0.4975985591354813,0.45199647680563715,0.4912823049338444,0.7538994800693241,0.6801985659128517,0.33793445468446504,0.11580963382008355,0.4494088001550688,0.37514518002322883,0.09647802604358047,0.8264365683181789,0.8588235294117645,0.7097786196282704,0.6978539156626505,0.852333136444182,0.37037037037037035,0.13732728615125,1
2,50.0,3,1.0,0.07738095238095238,0.6716864514863143,0.7448979591836734,0.16666666666666674,0.8872180451127819,0.6594810379241516,0.766990291262136,0.7069289424245773,0.4942278671849193,0.5748449069441666,0.45199647680563715,0.4912823049338444,0.7538994800693241,0.6767788196359625,0.33793445468446504,0.11735364830659036,0.45037798022872644,0.37514518002322883,0.25026300291442466,0.8264365683181789,0.8588235294117645,0.7097786196282704,0.6978539156626505,0.8529238038984053,0.37037037037037035,0.13353021833139977,1
2,50.0,3,1.0,0.07738095238095238,0.6716864514863143,0.7448979591836734,0.16666666666666674,0.8872180451127819,0.6750499001996008,0.766990291262136,0.672781522820201,0.49517133525713514,0.5662397438463078,0.45199647680563715,0.4912823049338444,0.7417677642980934,0.6444567015995588,0.337190560813324,0.12087759121529632,0.45037798022872644,0.36520841398890186,0.2577708202950443,0.8157357580256077,0.8588235294117645,0.7097786196282704,0.674887048192771,0.8626107501476669,0.33333333333333337,0.1188693175825336,1
2,50.0,3,1.0,0.08333333333333334,0.6716864514863143,0.7448979591836734,0.16666666666666674,0.8872180451127819,0.6791749833666,0.766990291262136,0.672781522820201,0.4935987267789224,0.46718030818491096,0.45199647680563715,0.4912823049338444,0.7417677642980934,0.6435741864313294,0.33646733066082574,0.12166944047943207,0.45037798022872644,0.36520841398890186,0.09898081826484632,0.8157357580256077,0.8588235294117645,0.7097786196282704,0.674887048192771,0.8633195510927348,0.33333333333333337,0.11517772386879022,1
2,50.0,3,1.0,0.09523809523809525,0.6716864514863143,0.7448979591836734,0.16666666666666674,0.8872180451127819,0.7403858948769128,0.766990291262136,0.6420598961211184,0.4939130544451414,0.5678407044226537,0.4530240751614797,0.4964758253987882,0.7417677642980934,0.6376172090457805,0.34890688928379554,0.11422593529181202,0.45464237255282025,0.3525616208543038,0.0986541968889314,0.7707057586441517,0.8588235294117645,0.7097786196282704,0.6379894578313251,0.8659184878913172,0.31481481481481477,0.1188693175825336,1
