Part,FFTE Feed solids SP,FFTE Production solids SP,FFTE Steam pressure SP,TFE Out flow SP,TFE Production solids SP,TFE Vacuum pressure SP,TFE Steam pressure SP,Extract tank Level,FFTE Discharge density,FFTE Discharge solids,FFTE Feed flow rate PV,FFTE Feed solids PV,FFTE Heat temperature 1,FFTE Heat temperature 2,FFTE Heat temperature 3,FFTE Production solids PV,FFTE Steam pressure PV,TFE Input flow PV,TFE Level,TFE Motor current,TFE Motor speed,TFE Out flow PV,TFE Production solids PV,TFE Production solids density,TFE Steam pressure PV,TFE Steam temperature,TFE Tank level,TFE Temperature,TFE Vacuum pressure PV,batch
2,3,43.0,75.0,2609.3,73.0,-73.39,120.0,48.03,1.29,49.29,10202.98,46.88,48.58,60.02,60.14,49.29,68.89,1827.5,46.18,28.7,3,1673.8,73.07,1.23,119.91,70.62,83.33,78,-72.11,0
2,3,43.0,75.0,2609.3,73.0,-79.16,120.0,48.3,1.29,49.29,10241.25,56.91,48.58,60.02,60.14,49.59,75.24,1853.44,46.18,29.04,3,4481.19,71.8,1.23,119.58,70.62,83.37,76,-76.0,0
2,3,43.0,75.0,2609.3,73.0,-79.94,120.0,48.56,1.29,49.29,10183.53,56.97,48.58,60.02,60.14,49.83,75.24,1917.64,46.05,28.97,3,4551.23,71.8,1.23,119.91,70.62,83.31,75,-77.39,0
2,3,43.0,75.0,2609.3,73.0,-79.16,120.0,49.25,1.29,49.9,10196.5,56.97,49.09,59.47,60.14,49.83,75.24,1891.7,46.11,29.31,3,1699.74,73.38,1.23,119.91,66.62,83.17,73,-78.46,0
2,3,43.0,75.0,2609.3,73.0,-77.61,120.0,49.59,1.29,49.9,10164.72,56.69,49.09,59.47,60.14,48.82,74.88,1898.18,46.11,29.61,3,1706.23,73.38,1.23,119.91,66.62,83.33,73,-78.1,0
2,3,43.0,75.0,2609.3,73.0,-78.63,120.0,49.88,1.29,49.9,10222.44,49.73,49.09,59.47,60.14,47.66,74.88,1904.67,46.37,29.07,3,1725.03,73.38,1.23,119.91,66.62,83.73,72,-78.1,0
2,3,43.0,75.0,2609.3,73.0,-80.0,120.0,50.03,1.29,49.9,10196.5,57.45,49.09,59.47,60.14,47.35,74.88,1929.96,46.47,29.07,3,4474.71,73.38,1.23,119.91,66.62,83.78,72,-78.46,0
2,3,43.0,75.0,2609.3,73.0,-80.0,120.0,51.2,1.29,46.81,10215.95,56.59,49.09,59.47,59.44,44.42,74.52,1987.68,46.47,28.3,3,4608.95,71.65,1.23,119.91,65.4,84.6,70,-79.85,0
2,3,43.0,80.0,2609.3,73.0,-80.0,120.0,51.51,1.29,46.81,10183.53,46.69,49.09,59.47,59.44,44.34,74.17,2000.65,46.47,28.3,3,1769.78,71.65,1.23,119.91,65.4,84.66,70,-80.2,0
2,3,43.0,90.0,2609.3,73.0,-80.0,120.0,56.11,1.29,44.03,10190.01,56.75,49.16,59.89,59.44,43.8,80.19,1878.73,46.91,27.32,3,1763.94,64.37,1.23,119.91,63.44,84.88,69,-79.85,0
2,3,43.0,90.0,2609.3,73.0,-79.45,120.0,63.69,1.29,49.83,10228.28,56.4,49.16,62.96,59.44,50.14,89.36,1744.49,44.6,29.31,3,1481.19,67.6,1.23,119.91,63.44,83.19,72,-79.85,0
2,3,43.0,90.0,2609.3,73.0,-74.46,120.0,64.38,1.29,49.83,10215.95,56.81,49.16,62.96,63.51,50.91,90.07,1680.29,44.67,29.17,3,3603.11,73.6,1.23,119.91,63.35,83.01,74,-77.03,0
2,3,43.0,90.0,2609.3,73.0,-72.94,120.0,65.2,1.29,49.83,10209.47,56.62,49.16,62.96,63.51,51.77,89.72,1635.54,44.54,29.0,3,3935.8,73.38,1.23,119.91,63.35,82.74,76,-74.21,0
2,3,43.0,90.0,2609.3,73.0,-68.55,120.0,66.22,1.29,49.83,10215.95,56.52,49.16,62.96,63.51,52.92,90.07,1564.85,44.54,28.74,3,1461.74,73.38,1.23,119.91,67.58,82.45,78,-70.36,0
2,3,43.0,90.0,2609.3,73.0,-67.8,120.0,66.49,1.29,49.83,10196.5,56.75,49.16,62.96,63.51,53.38,89.72,1603.76,45.12,28.87,3,1519.46,73.07,1.23,119.91,69.15,82.33,79,-68.58,0
2,3,43.0,90.0,2609.3,73.0,-69.39,120.0,67.12,1.29,49.83,10196.5,56.43,49.16,62.96,63.51,53.54,89.72,1584.31,45.12,28.97,3,1494.16,72.18,1.23,119.91,69.15,82.28,80,-68.93,0
2,3,43.0,90.0,2609.3,73.0,-67.8,120.0,67.6,1.29,49.83,10209.47,47.01,49.16,62.96,63.51,53.85,89.36,1673.8,45.6,28.37,3,1616.08,73.67,1.23,119.91,69.15,82.21,80,-68.58,0
2,3,43.0,90.0,2609.3,73.0,-70.15,120.0,67.63,1.29,49.83,10228.28,56.27,49.16,62.96,63.51,54.08,90.07,1859.92,47.07,28.37,3,1802.2,72.47,1.23,119.91,69.15,82.12,80,-68.93,0
2,3,43.0,90.0,2609.3,73.0,-77.77,120.0,68.5,1.29,54.24,10190.01,56.91,50.69,62.96,63.51,54.24,89.36,1866.41,46.98,29.24,3,4179.64,70.98,1.23,119.91,68.41,82.08,78,-74.21,0
2,3,43.0,90.0,2609.3,73.0,-78.02,120.0,68.13,1.29,54.24,10177.04,56.59,50.69,62.96,63.51,54.16,89.36,1846.95,46.56,29.07,3,1738.0,72.78,1.23,119.91,65.4,82.07,77,-75.64,0
2,3,43.0,90.0,2609.3,73.0,-72.56,120.0,68.5,1.29,54.24,10215.95,56.52,50.69,62.96,63.51,53.62,90.75,1853.44,47.2,29.14,3,3603.11,73.98,1.23,119.91,65.4,82.15,77,-72.82,0
2,3,43.0,90.0,2609.3,73.0,-73.3,120.0,69.32,1.29,53.31,10190.01,56.49,50.69,62.96,63.51,53.16,90.07,1853.44,47.27,28.6,3,1789.23,72.78,1.23,119.58,66.46,82.28,77,-73.5,0
2,3,43.0,90.0,2609.3,73.0,-76.65,120.0,69.64,1.29,53.31,10177.04,56.56,50.69,62.96,63.51,53.23,89.36,1891.7,47.04,29.0,3,4077.17,72.47,1.23,119.91,66.46,82.36,77,-74.93,0
2,3,43.0,90.0,2609.3,73.0,-75.66,120.0,70.77,1.29,53.31,10209.47,56.56,50.69,62.96,63.51,53.08,91.11,1885.21,47.2,28.91,3,3596.63,73.38,1.23,119.91,65.14,82.34,76,-75.28,0
2,3,43.0,90.0,2609.3,73.0,-77.4,120.0,71.86,1.29,53.31,10202.98,52.49,50.69,62.96,63.51,52.38,89.72,1898.18,47.1,29.0,3,1789.23,73.38,1.23,119.91,65.14,82.47,76,-76.32,0
2,3,43.0,90.0,2609.3,73.0,-76.89,120.0,71.67,1.29,53.31,10177.04,56.62,50.69,62.96,63.51,52.23,89.72,1795.72,45.63,29.61,3,1648.51,73.07,1.23,119.91,65.14,82.53,76,-77.03,0
2,3,43.0,90.0,2609.3,73.0,-76.89,120.0,71.7,1.29,53.31,10196.5,53.64,50.69,62.96,63.51,51.99,90.07,1795.72,46.14,29.24,3,1718.55,74.27,1.23,119.91,65.14,82.6,76,-76.0,0
2,3,43.0,90.0,2609.3,73.0,-73.97,120.0,72.44,1.29,53.31,10190.01,56.43,50.69,62.96,63.51,52.07,90.07,1802.2,46.14,29.38,3,3519.46,74.27,1.23,119.91,65.14,82.62,76,-75.28,0
2,3,43.0,90.0,2609.3,73.0,-74.74,120.0,72.59,1.29,53.31,10196.5,56.43,50.69,62.96,63.51,52.07,89.72,1827.5,46.5,28.7,3,1706.23,74.27,1.23,119.91,65.14,82.61,76,-74.57,0
2,3,43.0,90.0,2609.3,73.0,-78.04,120.0,73.05,1.29,53.31,10177.04,48.71,50.69,62.96,63.51,51.84,90.07,1821.01,46.27,29.31,3,3904.02,72.18,1.23,119.91,64.89,82.65,76,-76.67,0
2,3,43.0,90.0,2609.3,73.0,-79.29,120.0,69.63,1.29,51.23,10196.5,56.49,49.7,62.96,63.51,50.76,90.07,1859.92,46.43,29.27,3,1680.29,73.07,1.23,119.91,64.89,82.97,75,-78.1,0
2,3,43.0,90.0,2609.3,73.0,-80.0,120.0,67.43,1.28,51.23,10202.98,56.81,49.7,62.96,63.51,50.61,89.72,1853.44,46.18,29.24,3,3820.36,73.07,1.23,119.91,64.89,82.98,74,-79.13,0
2,3,43.0,105.0,2609.3,73.0,-80.0,120.0,69.66,1.28,46.35,10183.53,56.49,49.7,61.01,60.5,45.34,90.07,1872.24,46.11,28.03,3,3756.81,66.4,1.23,119.91,63.09,84.42,73,-79.85,0
2,3,43.0,105.0,2609.3,73.0,-70.66,125.0,59.36,1.31,58.25,10215.95,56.65,53.0,66.81,60.85,57.48,106.62,1821.01,47.39,28.77,3,1815.18,71.8,1.23,125.03,72.13,81.12,82,-69.29,0
2,3,43.0,105.0,2609.3,73.0,-74.45,125.0,53.26,1.31,58.25,10177.04,53.9,53.0,66.81,61.52,57.25,105.2,1853.44,47.39,29.47,3,1821.01,71.8,1.23,125.03,72.13,81.19,80,-73.18,0
2,3,43.0,105.0,2609.3,73.0,-80.0,125.0,39.03,1.31,56.47,10202.98,57.78,50.66,66.81,61.52,55.24,105.2,1942.93,47.62,29.31,3,2545.4,72.78,1.23,125.03,67.45,81.7,76,-78.81,0
2,0,43.0,105.0,2609.3,73.0,-80.0,125.0,1.18,1.31,51.53,10196.5,16.13,50.66,66.81,59.82,51.45,104.84,1693.26,44.47,29.41,3,3359.27,69.55,1.23,125.36,64.57,82.76,74,-80.2,0
2,0,43.0,105.0,2609.3,73.0,-79.5,125.0,1.55,1.31,51.53,10023.35,44.7,46.72,58.16,29.42,51.45,105.55,1512.97,42.71,29.88,3,1321.01,72.78,1.23,125.03,64.57,82.81,75,-80.2,0
2,0,43.0,105.0,2609.3,73.0,-74.18,125.0,1.1,1.31,50.91,9972.11,34.03,45.95,58.16,43.32,50.83,104.84,1507.13,42.81,29.41,3,1340.47,74.73,1.23,125.03,64.12,82.82,76,-77.39,0
